################################## 
## Start: "generate_grid" function 
################################## 
########################### 
###### Landscape 2 ####### 
########################### 
Verbosity level:   1.00 
       i           x               G 
     472  0.040000   0.680000   -0.108428   
     473  0.040000   0.690000   -0.008627   
     474  0.040000   0.700000   0.085612   
     475  0.040000   0.710000   0.174074   
     476  0.040000   0.720000   0.256657   
     477  0.040000   0.730000   0.333356   
     478  0.040000   0.740000   0.404240   
     479  0.040000   0.750000   0.469441   
     480  0.040000   0.760000   0.529133   
     481  0.040000   0.770000   0.583520   
     482  0.040000   0.780000   0.632827   
     483  0.040000   0.790000   0.677284   
     484  0.040000   0.800000   0.717123   
     485  0.040000   0.810000   0.752570   
     486  0.040000   0.820000   0.783841   
     487  0.040000   0.830000   0.811139   
     488  0.040000   0.840000   0.834653   
     489  0.040000   0.850000   0.854558   
     490  0.040000   0.860000   0.871012   
     491  0.040000   0.870000   0.884161   
     492  0.040000   0.880000   0.894139   
     493  0.040000   0.890000   0.901069   
     494  0.040000   0.900000   0.905065   
     495  0.040000   0.910000   0.906237   
     496  0.040000   0.920000   0.904690   
     497  0.040000   0.930000   0.900529   
     498  0.040000   0.940000   0.893860   
     499  0.040000   0.950000   0.884793   
     500  0.040000   0.960000   0.873443   
     501  0.040000   0.970000   0.859934   
     502  0.040000   0.980000   0.844396   
     503  0.040000   0.990000   0.826972   
     504  0.040000   1.000000   0.807812   
     505  0.050000   0.000000   -0.388884   
     506  0.050000   0.010000   -0.392618   
     507  0.050000   0.020000   -0.394140   
     508  0.050000   0.030000   -0.393363   
     509  0.050000   0.040000   -0.390271   
     510  0.050000   0.050000   -0.384926   
     511  0.050000   0.060000   -0.377463   
     512  0.050000   0.070000   -0.368090   
     513  0.050000   0.080000   -0.357083   
     514  0.050000   0.090000   -0.344776   
     515  0.050000   0.100000   -0.331555   
     516  0.050000   0.110000   -0.317849   
     517  0.050000   0.120000   -0.304117   
     518  0.050000   0.130000   -0.290839   
     519  0.050000   0.140000   -0.278509   
     520  0.050000   0.150000   -0.267625   
     521  0.050000   0.160000   -0.258682   
     522  0.050000   0.170000   -0.252166   
     523  0.050000   0.180000   -0.248550   
     524  0.050000   0.190000   -0.248293   
     525  0.050000   0.200000   -0.251835   
     526  0.050000   0.210000   -0.259596   
     527  0.050000   0.220000   -0.271972   
     528  0.050000   0.230000   -0.289336   
     529  0.050000   0.240000   -0.312031   
     530  0.050000   0.250000   -0.340365   
     531  0.050000   0.260000   -0.374602   
     532  0.050000   0.270000   -0.414956   
     533  0.050000   0.280000   -0.461574   
     534  0.050000   0.290000   -0.514524   
     535  0.050000   0.300000   -0.573780   
     536  0.050000   0.310000   -0.639202   
     537  0.050000   0.320000   -0.710524   
     538  0.050000   0.330000   -0.787333   
     539  0.050000   0.340000   -0.869062   
     540  0.050000   0.350000   -0.954973   
     541  0.050000   0.360000   -1.044159   
     542  0.050000   0.370000   -1.135540   
     543  0.050000   0.380000   -1.227875   
     544  0.050000   0.390000   -1.319777   
     545  0.050000   0.400000   -1.409735   
     546  0.050000   0.410000   -1.496148   
     547  0.050000   0.420000   -1.577362   
     548  0.050000   0.430000   -1.651717   
     549  0.050000   0.440000   -1.717589   
     550  0.050000   0.450000   -1.773447   
     551  0.050000   0.460000   -1.817901   
     552  0.050000   0.470000   -1.849748   
     553  0.050000   0.480000   -1.868015   
     554  0.050000   0.490000   -1.871996   
     555  0.050000   0.500000   -1.861275   
     556  0.050000   0.510000   -1.835742   
     557  0.050000   0.520000   -1.795598   
     558  0.050000   0.530000   -1.741345   
     559  0.050000   0.540000   -1.673769   
     560  0.050000   0.550000   -1.593907   
     561  0.050000   0.560000   -1.503012   
     562  0.050000   0.570000   -1.402506   
     563  0.050000   0.580000   -1.293934   
     564  0.050000   0.590000   -1.178910   
     565  0.050000   0.600000   -1.059073   
     566  0.050000   0.610000   -0.936032   
     567  0.050000   0.620000   -0.811333   
     568  0.050000   0.630000   -0.686415   
     569  0.050000   0.640000   -0.562589   
     570  0.050000   0.650000   -0.441013   
     571  0.050000   0.660000   -0.322683   
     572  0.050000   0.670000   -0.208424   
     573  0.050000   0.680000   -0.098897   
     574  0.050000   0.690000   0.005397   
     575  0.050000   0.700000   0.104106   
     576  0.050000   0.710000   0.197006   
     577  0.050000   0.720000   0.283991   
     578  0.050000   0.730000   0.365046   
     579  0.050000   0.740000   0.440238   
     580  0.050000   0.750000   0.509691   
     581  0.050000   0.760000   0.573574   
     582  0.050000   0.770000   0.632082   
     583  0.050000   0.780000   0.685433   
     584  0.050000   0.790000   0.733847   
     585  0.050000   0.800000   0.777546   
     586  0.050000   0.810000   0.816743   
     587  0.050000   0.820000   0.851642   
     588  0.050000   0.830000   0.882430   
     589  0.050000   0.840000   0.909281   
     590  0.050000   0.850000   0.932351   
     591  0.050000   0.860000   0.951780   
     592  0.050000   0.870000   0.967697   
     593  0.050000   0.880000   0.980213   
     594  0.050000   0.890000   0.989434   
     595  0.050000   0.900000   0.995453   
     596  0.050000   0.910000   0.998363   
     597  0.050000   0.920000   0.998252   
     598  0.050000   0.930000   0.995209   
